Metadata Item,Protocol Tier,Analysis Tier,Data Type,Schema Path,Source,Scope,Notes
Uncertainty Level and Propagation,Advanced,Editable,Text (free),$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='Uncertainty Level and Propagation'].schema:value,inferred,,path corrected: analysis-tier value hangs off prov:wasGeneratedBy
Per-Analyte Calibration Strategy,Advanced,Read-Only,Controlled list,$MethodDefinition.ada:perAnalyteCalibrationStrategy[],inferred,shared,
Matrix Offset Correction (LIEF),Advanced,Read-Only,Text (free),$MethodDefinition.schema:additionalProperty[schema:name='Matrix Offset Correction LIEF'].schema:value,inferred,shared,
Signal Integration Interval Method,Advanced,Read-Only,Text (free),$MethodDefinition.ada:signalIntegrationIntervalMethod,inferred,shared,
Signal Integration Time,N/A,Basic,Numeric (s),$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='Signal Integration Time'].schema:value,inferred,shared,
Spike / Outlier Filtering Approach,Advanced,Editable,Text (free),$MethodDefinition.schema:actionProcess.schema:step[schema:name='dataReduction'].schema:additionalProperty[schema:name='Filtering Approach'].schema:defaultValue,authored,shared,divergence decision applied
Spike / Outlier Filtering Approach,Advanced,Editable,Text (free),$Dataset.prov:wasGeneratedBy.schema:actionProcess.schema:step[schema:name='dataReduction'].schema:additionalProperty[schema:name='Filtering Approach'].schema:value,authored,shared,analysis-tier half; mirrors the TAPP step nesting
Isobaric Interference Corrections Applied,Advanced,Read-Only,Boolean,$.ada:analyteTemplate.ada:analyteColumns[],authored,shared,
Interfering Species,Advanced,Read-Only,Text (free),$.ada:analyteTemplate.ada:analyteColumns[],authored,shared,
Interference Correction Method,Advanced,Read-Only,Text (free),$.ada:analyteTemplate.ada:analyteColumns[],authored,shared,
